,city,lat,lng
657,Mahthi,25.7281,86.0093
658,Hunasamaranhalli,13.1435,77.62
659,Vaikam,9.7667,76.4
660,Kanke,23.4348,85.3206
661,Hesarghatta,13.1391,77.4783
662,Raja Pakar,25.735,85.3376
663,Kondalampatti,11.6262,78.1189
664,North Guwahati,26.19,91.71
665,Chinnasekkadu,13.1609,80.2573
666,Balasore,21.4942,86.9317
667,Chausa,25.5283,87.0322
668,Panniyannur,11.7538,75.5528
669,Bakhri,25.5989,86.2607
670,Bariarpur,25.686,86.0295
671,Behat,26.2435,86.2799
672,Bauria,22.4521,88.1853
673,Nerupperichchal,11.161,77.374
674,Pakri,25.5876,85.158
675,Mohiuddinnagar,25.7428,86.0812
676,Sancoale,15.467,73.833
677,Dumjor,22.64,88.22
678,Kannankurichchi,11.6969,78.1794
679,Khizrpur,30.5843,76.7572
680,Mirpeta,17.32,78.52
681,Mahiari,22.59,88.24
682,Bhopatpur,26.4495,84.8545
683,Pahsara,25.5482,86.1667
684,Vandalur,12.8924,80.0808
685,Sarso,26.2333,86.1768
686,Dumra,26.5671,85.5204
687,Morwa,25.803,85.6861
688,Mayahaura,22.1834,88.4998
689,Manjha,26.4061,84.5002
690,Ghosai,25.5562,87.0304
691,Nilaiyur,9.8572,78.0598
692,Harihans,26.1457,84.3476
693,Harpur,26.4527,86.071
694,Dumri,25.4014,86.1165
695,Sakri,26.2197,86.0853
696,Murugampalaiyam,11.0806,77.3238
697,Ulao,25.4165,86.0936
698,Laualagaon,25.494,87.0412
699,Mahisi,25.854,86.469
700,Basatpur,26.0011,85.0643
701,Erumapalaiyam,11.6324,78.1695
702,Pachmir,25.4077,86.3803
703,Manikpur,25.91,86.821
704,Bhogpur,31.55,75.63
705,Malancha,24.666,87.922
706,Arajpur,25.5197,87.0808
707,Keota,25.644,85.8287
708,Harpur Pusa,25.9667,85.6667
709,Usmanpur,24.9218,88.0124
710,Dhobauli,25.4008,86.1885
711,Baikatpur,25.4939,85.3792
712,Raghudebbati,22.53,88.2
713,Lakhnaur,26.202,86.309
714,Pariharpur,26.7114,85.6797
715,Mohan Eghu,25.4002,86.145
716,Nahazari,22.4347,88.2487
717,Abdullahnagar,25.7683,87.5557
718,Rampur Jalalpur,25.6712,85.8606
719,Kalyanpur Bamaiya,25.714,85.9212
720,Khusropur,25.4817,85.3849
721,Giria,24.5167,88.0667
722,Pupri,26.4708,85.7031
723,Majitha,31.7571,74.9589
724,Dhamaun,25.5999,85.5479
725,Karahia,26.4054,86.149
726,Shankar Saraiya,26.5967,84.8526
727,Baharu,22.204,88.4283
728,Mau Dhaneshpur,25.5899,85.8337
729,Raiyam,26.2702,86.2071
730,Baro,25.4487,85.9924
731,Malhipur,25.4069,86.0234
732,Mukhtarpur Salkani,25.6643,85.7784
733,Jagdispur,22.65,88.29
734,Hargawan,25.1428,85.5652
735,Ramnagar,22.3245,88.494
736,Kundal,25.762,86.2081
737,Barharwa Kalan,26.5434,84.8286
738,Dhumnagar,26.756,84.5233
739,Jaypul,22.7833,88.5695
740,Meddappakkam,12.9166,80.1939
741,Tengampudur,8.1158,77.4579
742,Gopalnagar,24.8063,88.0796
743,Itahri,25.313,86.5459
744,Mangrauni,26.3667,86.0833
745,Palda,22.68,75.8939
746,Kanhauli Manohar,25.9755,84.6853
747,Singhwara,26.1842,85.7368
748,Garhpura,25.6638,86.1818
749,Puluvappatti,10.963,76.8158
750,Billapadu,16.6364,80.9661
751,Hasanpur Juned,25.5915,85.5238
752,Dogachi,24.6195,87.9221
753,Suchindram,8.1544,77.467
754,Tanakkangulam,9.8877,78.0397
755,Lakho,25.4113,86.1792
756,Gundur,10.7339,78.7184
757,Baynala,22.5277,88.558
758,Puttalam,8.0981,77.464
759,Sasan,25.6883,86.1907
760,Balaungi,30.7306,76.6937
761,Kamrawan,25.6956,85.838
762,Babhani Bholwa,26.0876,86.7456
763,Fatehpur,25.5089,85.1939
764,Chandi,25.7296,87.5195
765,Belsandi Tara,25.7722,85.9608
766,Raje,26.2216,86.1454
767,Mugalivakkam,13.0205,80.1653
768,Ijra,26.3119,86.0037
769,Tabhka Khas,25.6518,85.9426
770,Bhatranha,25.9846,86.6348
771,Tirumalaiyampalaiyam,10.879,76.9295
772,Andipalaiyam,11.092,77.315
